id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_bayi,jumlah_kematian,satuan,tahun
195,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,BAYI,63,ORANG,2022
196,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,ANAK BALITA,5,ORANG,2022
197,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,BAYI,35,ORANG,2022
198,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,ANAK BALITA,3,ORANG,2022
199,32,JAWA BARAT,3271,KOTA BOGOR,BAYI,66,ORANG,2022
200,32,JAWA BARAT,3271,KOTA BOGOR,ANAK BALITA,3,ORANG,2022
201,32,JAWA BARAT,3272,KOTA SUKABUMI,BAYI,35,ORANG,2022
202,32,JAWA BARAT,3272,KOTA SUKABUMI,ANAK BALITA,4,ORANG,2022
203,32,JAWA BARAT,3273,KOTA BANDUNG,BAYI,110,ORANG,2022
204,32,JAWA BARAT,3273,KOTA BANDUNG,ANAK BALITA,6,ORANG,2022
205,32,JAWA BARAT,3274,KOTA CIREBON,BAYI,38,ORANG,2022
206,32,JAWA BARAT,3274,KOTA CIREBON,ANAK BALITA,2,ORANG,2022
207,32,JAWA BARAT,3275,KOTA BEKASI,BAYI,42,ORANG,2022
208,32,JAWA BARAT,3275,KOTA BEKASI,ANAK BALITA,1,ORANG,2022
209,32,JAWA BARAT,3276,KOTA DEPOK,BAYI,115,ORANG,2022
210,32,JAWA BARAT,3276,KOTA DEPOK,ANAK BALITA,5,ORANG,2022
211,32,JAWA BARAT,3277,KOTA CIMAHI,BAYI,56,ORANG,2022
212,32,JAWA BARAT,3277,KOTA CIMAHI,ANAK BALITA,1,ORANG,2022
213,32,JAWA BARAT,3278,KOTA TASIKMALAYA,BAYI,85,ORANG,2022
214,32,JAWA BARAT,3278,KOTA TASIKMALAYA,ANAK BALITA,17,ORANG,2022
215,32,JAWA BARAT,3279,KOTA BANJAR,BAYI,46,ORANG,2022
216,32,JAWA BARAT,3279,KOTA BANJAR,ANAK BALITA,7,ORANG,2022
217,32,JAWA BARAT,3201,KABUPATEN BOGOR,BAYI,661,ORANG,2023
218,32,JAWA BARAT,3201,KABUPATEN BOGOR,ANAK BALITA,52,ORANG,2023
219,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BAYI,330,ORANG,2023
