id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,angka_harapan_hidup,satuan,tahun
287,32,JAWA BARAT,3272,KOTA SUKABUMI,72.42,TAHUN,2020
288,32,JAWA BARAT,3273,KOTA BANDUNG,74.28,TAHUN,2020
289,32,JAWA BARAT,3274,KOTA CIREBON,72.26,TAHUN,2020
290,32,JAWA BARAT,3275,KOTA BEKASI,75.01,TAHUN,2020
291,32,JAWA BARAT,3276,KOTA DEPOK,74.44,TAHUN,2020
292,32,JAWA BARAT,3277,KOTA CIMAHI,74.03,TAHUN,2020
293,32,JAWA BARAT,3278,KOTA TASIKMALAYA,72.15,TAHUN,2020
294,32,JAWA BARAT,3279,KOTA BANJAR,70.99,TAHUN,2020
295,32,JAWA BARAT,3201,KABUPATEN BOGOR,71.36,TAHUN,2021
296,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,71.21,TAHUN,2021
297,32,JAWA BARAT,3203,KABUPATEN CIANJUR,70.32,TAHUN,2021
298,32,JAWA BARAT,3204,KABUPATEN BANDUNG,73.72,TAHUN,2021
299,32,JAWA BARAT,3205,KABUPATEN GARUT,71.59,TAHUN,2021
300,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,69.67,TAHUN,2021
301,32,JAWA BARAT,3207,KABUPATEN CIAMIS,72.02,TAHUN,2021
302,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,73.78,TAHUN,2021
303,32,JAWA BARAT,3209,KABUPATEN CIREBON,72.18,TAHUN,2021
304,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,70.46,TAHUN,2021
305,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,72.62,TAHUN,2021
306,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,71.84,TAHUN,2021
307,32,JAWA BARAT,3213,KABUPATEN SUBANG,72.58,TAHUN,2021
308,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,71.18,TAHUN,2021
309,32,JAWA BARAT,3215,KABUPATEN KARAWANG,72.33,TAHUN,2021
310,32,JAWA BARAT,3216,KABUPATEN BEKASI,73.81,TAHUN,2021
311,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,72.52,TAHUN,2021
312,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,71.6,TAHUN,2021
313,32,JAWA BARAT,3271,KOTA BOGOR,73.82,TAHUN,2021
314,32,JAWA BARAT,3272,KOTA SUKABUMI,72.58,TAHUN,2021
315,32,JAWA BARAT,3273,KOTA BANDUNG,74.46,TAHUN,2021
316,32,JAWA BARAT,3274,KOTA CIREBON,72.44,TAHUN,2021
317,32,JAWA BARAT,3275,KOTA BEKASI,75.19,TAHUN,2021
318,32,JAWA BARAT,3276,KOTA DEPOK,74.62,TAHUN,2021
319,32,JAWA BARAT,3277,KOTA CIMAHI,74.21,TAHUN,2021
320,32,JAWA BARAT,3278,KOTA TASIKMALAYA,72.34,TAHUN,2021
321,32,JAWA BARAT,3279,KOTA BANJAR,71.19,TAHUN,2021
322,32,JAWA BARAT,3201,KABUPATEN BOGOR,71.65,TAHUN,2022
323,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,71.54,TAHUN,2022
324,32,JAWA BARAT,3203,KABUPATEN CIANJUR,70.58,TAHUN,2022
